Student_id,Age,Gender,Academic_level,Country,Avg_Daily_Usage_hours,Most used Platform,Affects Academic Performance,Relationships,Conflict,Sleep Hours per night,Mental health Score,Addicted Score
229,25,Female,Graduate,Egypt,6.8,Facebook,Yes,Complicated,Facebook,5,1,10
230,21,Female,Undergraduate,USA,4.3,Tik-Tok,Yes,Complicated,Instagram,4,5,9
231,15,Male,High School,Sweden,6.5,Tik-Tok,Yes,Single,Twitter,7,6,5
232,16,Male,High School,China,9.7,Instagram,Yes,In-Relationship,Instagram,5,7,9
233,20,Male,Undergraduate,Australia,7.6,Instagram,Yes,In-Relationship,Instagram,5,9,2
234,20,Female,Undergraduate,USA,5.2,Snapchat,Yes,Complicated,Twitter,6,8,1
235,24,Female,Graduate,Bangladesh,7.8,Facebook,Yes,Single,Facebook,7,2,4
236,21,Female,Undergraduate,UK,4.1,Snapchat,Yes,Single,Tik-Tok,7,7,6
237,21,Female,Undergraduate,Canada,3,LINE,No,In-Relationship,WhatsApp,4,7,7
238,19,Male,Undergraduate,Bangladesh,6,Instagram,Yes,Single,Twitter,8,9,10
239,16,Female,High School,India,6.8,Tik-Tok,No,In-Relationship,LinkedIn,8,2,10
240,17,Female,High School,Canada,10,Instagram,Yes,In-Relationship,Facebook,6,10,9
241,21,Female,Undergraduate,Poland,9,LINE,No,Single,Instagram,6,1,2
242,25,Female,Graduate,Singapore,9,Facebook,Yes,In-Relationship,Twitter,5,6,6
243,23,Female,Graduate,Kenya,4.4,Twitter,Yes,Single,Tik-Tok,6,8,2
244,16,Female,High School,Belgium,7,Snapchat,No,Single,Facebook,4,6,2
245,20,Female,Undergraduate,Sweden,7.2,WhatsApp,Yes,In-Relationship,Snapchat,5,9,10
246,24,Male,Graduate,Israel,6.2,WhatsApp,Yes,Single,WhatsApp,6,4,4
247,24,Female,Graduate,Argentina,3.7,Facebook,No,Single,Tik-Tok,8,9,3
248,21,Male,Undergraduate,Brazil,5.9,Snapchat,Yes,In-Relationship,LinkedIn,5,8,3
249,26,Male,Graduate,UAE,7.7,LINE,Yes,Single,Instagram,7,10,4
250,17,Female,High School,Israel,3.4,Instagram,Yes,Complicated,Instagram,5,6,9
251,23,Male,Graduate,Singapore,9.5,Linkdin,Yes,Single,Instagram,6,8,1
252,18,Male,High School,Malaysia,8.9,Facebook,Yes,Complicated,Instagram,4,6,7
253,23,Male,Graduate,UAE,6.8,Twitter,Yes,In-Relationship,Twitter,4,8,8
254,20,Female,Undergraduate,Brazil,6,Twitter,Yes,In-Relationship,LinkedIn,5,8,5
255,25,Male,Graduate,UAE,3.4,WhatsApp,Yes,Complicated,Snapchat,5,7,9
256,17,Female,High School,Brazil,4,Snapchat,Yes,In-Relationship,Snapchat,4,8,1
257,26,Female,Graduate,Greece,6.2,WhatsApp,Yes,Single,Instagram,4,8,5
258,20,Male,Undergraduate,Pakistan,7.6,Facebook,Yes,In-Relationship,Instagram,4,2,5
259,24,Male,Graduate,Mexico,10,WhatsApp,Yes,In-Relationship,Twitter,7,7,3
260,16,Male,High School,New Zealand,8.4,WhatsApp,No,Single,Instagram,6,9,4
261,23,Male,Graduate,Vietnam,3.4,Snapchat,Yes,In-Relationship,WhatsApp,6,8,7
262,26,Male,Graduate,Austria,3,Instagram,Yes,Single,Instagram,8,4,2
263,18,Female,High School,Ireland,4.7,WhatsApp,Yes,Single,Snapchat,4,3,10
264,24,Female,Graduate,Japan,9.1,Instagram,No,Single,WhatsApp,4,4,1
265,24,Female,Graduate,India,3.6,Facebook,No,Single,LinkedIn,6,7,2
266,23,Male,Graduate,India,8.4,Facebook,Yes,Complicated,Instagram,4,6,10
267,25,Male,Graduate,Italy,8.3,Tik-Tok,Yes,Single,Snapchat,4,2,4
268,25,Female,Graduate,France,8.7,Instagram,Yes,Complicated,LinkedIn,7,1,6
269,19,Female,Undergraduate,Netherlands,4,Snapchat,No,Complicated,Twitter,5,6,7
270,17,Female,High School,UK,8.5,Instagram,Yes,Complicated,Twitter,6,2,5
271,21,Female,Undergraduate,Czech Republic,9.3,Snapchat,Yes,In-Relationship,LinkedIn,4,10,6
272,16,Female,High School,Japan,6.2,LINE,Yes,Single,Facebook,6,4,1
273,18,Male,High School,Finland,7.7,Snapchat,Yes,Single,Snapchat,7,1,9
274,19,Male,Undergraduate,UK,7.5,Facebook,Yes,Complicated,Twitter,6,8,6
275,17,Male,High School,Australia,4.7,Twitter,Yes,Single,WhatsApp,8,2,5
276,18,Female,High School,Chile,4.8,Facebook,Yes,In-Relationship,WhatsApp,6,2,8
277,24,Female,Graduate,Singapore,7.5,Snapchat,Yes,Complicated,Instagram,6,9,6
278,26,Male,Graduate,UK,5.3,Facebook,Yes,Complicated,Facebook,6,7,2
279,15,Female,High School,Brazil,4.5,Snapchat,Yes,Single,Twitter,8,7,5
280,19,Male,Undergraduate,Egypt,6.2,Twitter,No,Complicated,LinkedIn,7,10,10
281,19,Female,Undergraduate,Vietnam,7.1,WhatsApp,Yes,Complicated,Facebook,6,6,3
282,18,Female,High School,Malaysia,6.7,WhatsApp,No,Complicated,Snapchat,8,8,10
283,25,Male,Graduate,Canada,6.9,WhatsApp,Yes,Complicated,WhatsApp,7,9,10
284,17,Male,High School,Germany,4.8,Facebook,No,Single,Instagram,4,2,7
285,16,Male,High School,Belgium,9.7,Snapchat,Yes,Single,Tik-Tok,6,6,4
286,19,Male,Undergraduate,Spain,6.6,Instagram,Yes,In-Relationship,Instagram,6,9,8
287,18,Male,High School,Singapore,4.9,Twitter,Yes,In-Relationship,Instagram,4,2,9
288,16,Female,High School,Philippines,7.5,Facebook,Yes,In-Relationship,LinkedIn,4,7,8
289,15,Male,High School,South Africa,5.1,Snapchat,No,Single,WhatsApp,7,9,9
290,15,Female,High School,Colombia,5.4,Tik-Tok,No,Single,Tik-Tok,6,8,9
291,19,Male,Undergraduate,Nigeria,4.7,Facebook,Yes,In-Relationship,Instagram,6,6,8
292,22,Male,Undergraduate,Australia,3.4,Facebook,Yes,Complicated,Instagram,4,6,6
293,15,Female,High School,Egypt,3.4,Instagram,Yes,Single,Twitter,7,3,10
294,20,Female,Undergraduate,Egypt,9.1,Instagram,No,In-Relationship,WhatsApp,5,6,1
295,23,Male,Graduate,India,10,Linkdin,No,Single,LinkedIn,7,3,2
296,17,Male,High School,Israel,3.3,Snapchat,Yes,In-Relationship,Snapchat,7,4,6
297,16,Male,High School,Colombia,4.1,LINE,Yes,Single,Instagram,5,1,9
298,25,Male,Graduate,Colombia,6.9,Snapchat,No,In-Relationship,WhatsApp,6,5,2
299,16,Female,High School,South Africa,7,Facebook,No,Complicated,WhatsApp,4,3,3
300,22,Male,Undergraduate,Nigeria,8.2,Instagram,Yes,Single,Snapchat,7,1,5
301,15,Male,High School,Ireland,8.3,Linkdin,Yes,Single,LinkedIn,8,8,4
